Сезон;Тур;Хозяева;Гости;Голы хозяев;Голы гостей;Дата матча;Букмекер_1;1_а;Х_а;2_а;ТМ 2.5_а;ТБ 2.5_а;Букмекер_2;1_б;Х_б;2_б;ТМ 2.5_б;ТБ 2.5_б;Букмекер_3;1_в;Х_в;2_в;ТМ 2.5_в;ТБ 2.5_в;Турнир_1;Дата матча_1;Хозяева_1;Гости_1;Голы хозяев_1;Голы гостей_1;Турнир_2;Дата матча_2;Хозяева_2;Гости_2;Голы хозяев_2;Голы гостей_2;Турнир_3;Дата матча_3;Хозяева_3;Гости_3;Голы хозяев_3;Голы гостей_3;Турнир_4;Дата матча_4;Хозяева_4;Гости_4;Голы хозяев_4;Голы гостей_4;Турнир_5;Дата матча_5;Хозяева_5;Гости_5;Голы хозяев_5;Голы гостей_5;Дата матча_6;Хозяева_6;Гости_6;Голы хозяев_6;Голы гостей_6;Дата матча_7;Хозяева_7;Гости_7;Голы хозяев_7;Голы гостей_7;Дата матча_8;Хозяева_8;Гости_8;Голы хозяев_8;Голы гостей_8;Дата матча_9;Хозяева_9;Гости_9;Голы хозяев_9;Голы гостей_9;Дата матча_10;Хозяева_10;Гости_10;Голы хозяев_10;Голы гостей_10;Дата матча_11;Хозяева_11;Гости_11;Голы хозяев_11;Голы гостей_11;Дата матча_12;Хозяева_12;Гости_12;Голы хозяев_12;Голы гостей_12;Дата матча_13;Хозяева_13;Гости_13;Голы хозяев_13;Голы гостей_13;Дата матча_14;Хозяева_14;Гости_14;Голы хозяев_14;Голы гостей_14;Дата матча_15;Хозяева_15;Гости_15;Голы хозяев_15;Голы гостей_15;Дата матча_16;Хозяева_16;Гости_16;Голы хозяев_16;Голы гостей_16;Дата матча_17;Хозяева_17;Гости_17;Голы хозяев_17;Голы гостей_17;Дата матча_18;Хозяева_18;Гости_18;Голы хозяев_18;Голы гостей_18;Дата матча_19;Хозяева_19;Гости_19;Голы хозяев_19;Голы гостей_19;Название команды_1;Позиция_1;Перспектива_1;Игры_1;Победы_1;Ничьи_1;Поражения_1;Забитые голы_1;Пропущенные голы_1;очки +3 позиции_1;очки +2 позиции_1;очки +1 позиции_1;очки_1;очки -1 позиции_1;очки -2 позиции_1;очки -3 позиции_1;Название команды_2;Позиция_2;Перспектива_2;Игры_2;Победы_2;Ничьи_2;Поражения_2;Забитые голы_2;Пропущенные голы_2;очки +3 позиции_2;очки +2 позиции_2;очки +1 позиции_2;очки_2;очки -1 позиции_2;очки -2 позиции_2;очки -3 позиции_2
2016-2017;33-й тур;Тоттенхэм;Борнмут;4;0;Матч завершен 15 апреля 2017;Неизвестно;1,25;7,50;14,00;3,22;1,41;0;0;0;0;0;0;0;0;0;0;0;0;Английская Премьер-лига 2016-2017;22.10.16;Борнмут;Тоттенхэм;0;0;Английская Премьер-лига 2015-2016;20.03.16;Тоттенхэм;Борнмут;3;0;Английская Премьер-лига 2015-2016;25.10.15;Борнмут;Тоттенхэм;1;5;0;0;0;0;0;0;0;0;0;0;0;0;08.04.17;Тоттенхэм;Уотфорд;4;0;05.04.17;Суонси;Тоттенхэм;1;3;01.04.17;Бернли;Тоттенхэм;0;2;19.03.17;Тоттенхэм;Саутгемптон;2;1;05.03.17;Тоттенхэм;Эвертон;3;2;26.02.17;Тоттенхэм;Сток Сити;4;0;11.02.17;Ливерпуль;Тоттенхэм;2;0;08.04.17;Борнмут;Челси;1;3;05.04.17;Ливерпуль;Борнмут;2;2;01.04.17;Саутгемптон;Борнмут;0;0;18.03.17;Борнмут;Суонси;2;0;11.03.17;Борнмут;Вест Хэм;3;2;04.03.17;МанчестерЮнайтед;Борнмут;1;1;25.02.17;ВестБромвич;Борнмут;2;1;Тоттенхэм;2;;31;20;8;3;64;22;0;0;75;68;63;61;57;Борнмут;15;;32;9;8;15;45;59;36;36;36;35;34;30;28
2016-2017;32-й тур;Кристал Пэлас;Арсенал;3;0; Матч завершен 10 апреля 2017;Неизвестно;5,14;4,60;1,76;2,70;1,57;0;0;0;0;0;0;0;0;0;0;0;0;Английская Премьер-лига 2016-2017;01.01.17;Арсенал;Кристал Пэлас;2;0;Английская Премьер-лига 2015-2016;17.04.16;Арсенал;Кристал Пэлас;1;1;Английская Премьер-лига 2015-2016;16.08.15;Кристал Пэлас;Арсенал;1;2;Английская Премьер-лига 2014-2015;21.02.15;Кристал Пэлас;Арсенал;1;2;Английская Премьер-лига 2014-2015;16.08.14;Арсенал;Кристал Пэлас;2;1;05.04.17;Саутгемптон;Кристал Пэлас;3;1;01.04.17;Челси;Кристал Пэлас;1;2;18.03.17;КристалПэлас;Уотфорд;1;0;04.03.17;ВестБромвич;Кристал Пэлас;0;2;25.02.17;КристалПэлас;Мидлсбро;1;0;11.02.17;СтокСити;Кристал Пэлас;1;0;04.02.17;КристалПэлас;Сандерленд;0;4;05.04.17;Арсенал;Вест Хэм;3;0;02.04.17;Арсенал;Манчестер Сити;2;2;18.03.17;ВестБромвич;Арсенал;3;1;04.03.17;Ливерпуль;Арсенал;3;1;11.02.17;Арсенал;Халл Сити;2;0;04.02.17;Челси;Арсенал;3;1;31.01.17;Арсенал;Уотфорд;1;2;Кристал Пэлас;16;;30;9;4;17;39;50;36;36;35;31;30;28;24;Арсенал;6;;29;16;6;7;61;36;63;61;57;54;0;44;40
2016-2017;32-й тур;Эвертон;Лестер;4;2;Матч завершен 9 апреля 2017;Неизвестно;1,78;3,94;5,15;2,33;1,74;0;0;0;0;0;0;0;0;0;0;0;0;Кубок футбольной лиги 2016-2017;07.01.17;Эвертон;Лестер;1;2;Английская Премьер-лига 2016-2017;26.12.16;Лестер;Эвертон;0;2;Английская Премьер-лига 2015-2016;07.05.16;Лестер;Эвертон;3;1;Английская Премьер-лига 2015-2016;19.12.15;Эвертон;Лестер;2;3;Английская Премьер-лига 2014-2015;22.02.15;Эвертон;Лестер;2;2;04.04.17;МанчестерЮнайтед;Эвертон;1;1;01.04.17;Ливерпуль;Эвертон;3;1;18.03.17;Эвертон;Халл Сити;4;0;11.03.17;Эвертон;Вест Бромвич;3;0;05.03.17;Тоттенхэм;Эвертон;3;2;25.02.17;Эвертон;Сандерленд;2;0;11.02.17;Мидлсбро;Эвертон;0;0;04.04.17;Лестер;Сандерленд;2;0;01.04.17;Лестер;Сток Сити;2;0;18.03.17;ВестХэм;Лестер;2;3;04.03.17;Лестер;Халл Сити;3;1;27.02.17;Лестер;Ливерпуль;3;1;12.02.17;Суонси;Лестер;2;0;05.02.17;Лестер;Манчестер Юнайтед;0;3;Эвертон;7;;31;14;9;8;53;34;61;57;54;51;44;40;37;Лестер;11;;30;10;6;14;37;47;44;40;37;36;0;0;0
2016-2017;32-й тур;Сандерленд;Манчестер Юнайтед;0;3;Матч завершен 9 апреля 2017;Неизвестно;11,40;5,20;1,40;2,25;1,77;0;0;0;0;0;0;0;0;0;0;0;0;Английская Премьер-лига 2016-2017;26.12.16;Манчестер Юнайтед;Сандерленд;3;1;Английская Премьер-лига 2015-2016;13.02.16;Сандерленд;Манчестер Юнайтед;2;1;Английская Премьер-лига 2015-2016;26.09.15;Манчестер Юнайтед;Сандерленд;3;0;Английская Премьер-лига 2014-2015;28.02.15;Манчестер Юнайтед;Сандерленд;2;0;Английская Премьер-лига 2014-2015;24.08.14;Сандерленд;Манчестер Юнайтед;1;1;04.04.17;Лестер;Сандерленд;2;0;01.04.17;Уотфорд;Сандерленд;1;0;18.03.17;Сандерленд;Бернли;0;0;05.03.17;Сандерленд;Манчестер Сити;0;2;25.02.17;Эвертон;Сандерленд;2;0;11.02.17;Сандерленд;Саутгемптон;0;4;04.02.17;КристалПэлас;Сандерленд;0;4;04.04.17;МанчестерЮнайтед;Эвертон;1;1;01.04.17;МанчестерЮнайтед;Вест Бромвич;0;0;19.03.17;Мидлсбро;Манчестер Юнайтед;1;3;04.03.17;МанчестерЮнайтед;Борнмут;1;1;11.02.17;МанчестерЮнайтед;Уотфорд;2;0;05.02.17;Лестер;Манчестер Юнайтед;0;3;01.02.17;МанчестерЮнайтед;Халл Сити;0;0;Сандерленд;20;;30;5;5;20;24;53;30;28;24;20;0;0;0;Манчестер Юнайтед;6;;29;14;12;3;43;24;63;61;0;54;51;44;40
2016-2017;32-й тур;Борнмут;Челси;1;3;Матч завершен 8 апреля 2017;Неизвестно;6,90;4,60;1,54;2,38;1,71;0;0;0;0;0;0;0;0;0;0;0;0;Английская Премьер-лига 2016-2017;26.12.16;Челси;Борнмут;3;0;Английская Премьер-лига 2015-2016;23.04.16;Борнмут;Челси;1;4;Английская Премьер-лига 2015-2016;05.12.15;Челси;Борнмут;0;1;0;0;0;0;0;0;0;0;0;0;0;0;05.04.17;Ливерпуль;Борнмут;2;2;01.04.17;Саутгемптон;Борнмут;0;0;18.03.17;Борнмут;Суонси;2;0;11.03.17;Борнмут;Вест Хэм;3;2;04.03.17;МанчестерЮнайтед;Борнмут;1;1;25.02.17;ВестБромвич;Борнмут;2;1;13.02.17;Борнмут;Манчестер Сити;0;2;05.04.17;Челси;Манчестер Сити;2;1;01.04.17;Челси;Кристал Пэлас;1;2;18.03.17;СтокСити;Челси;1;2;06.03.17;ВестХэм;Челси;1;2;25.02.17;Челси;Суонси;3;1;12.02.17;Бернли;Челси;1;1;04.02.17;Челси;Арсенал;3;1;Борнмут;15;;31;9;8;14;44;56;36;36;36;35;31;30;28;Челси;1;;30;23;3;4;62;24;0;0;0;72;68;63;61
2016-2017;32-й тур;Вест Бромвич;Саутгемптон;0;1;Матч завершен 8 апреля 2017;Неизвестно;3,00;3,34;2,62;1,76;2,24;0;0;0;0;0;0;0;0;0;0;0;0;Английская Премьер-лига 2016-2017;31.12.16;Саутгемптон;Вест Бромвич;1;2;Английская Премьер-лига 2015-2016;16.01.16;Саутгемптон;Вест Бромвич;3;0;Английская Премьер-лига 2015-2016;12.09.15;Вест Бромвич;Саутгемптон;0;0;Английская Премьер-лига 2014-2015;28.02.15;Вест Бромвич;Саутгемптон;1;0;Английская Премьер-лига 2014-2015;23.08.14;Саутгемптон;Вест Бромвич;0;0;04.04.17;Уотфорд;Вест Бромвич;2;0;01.04.17;МанчестерЮнайтед;Вест Бромвич;0;0;18.03.17;ВестБромвич;Арсенал;3;1;11.03.17;Эвертон;Вест Бромвич;3;0;04.03.17;ВестБромвич;Кристал Пэлас;0;2;25.02.17;ВестБромвич;Борнмут;2;1;11.02.17;ВестХэм;Вест Бромвич;2;2;05.04.17;Саутгемптон;Кристал Пэлас;3;1;01.04.17;Саутгемптон;Борнмут;0;0;19.03.17;Тоттенхэм;Саутгемптон;2;1;04.03.17;Уотфорд;Саутгемптон;3;4;11.02.17;Сандерленд;Саутгемптон;0;4;04.02.17;Саутгемптон;Вест Хэм;1;3;31.01.17;Суонси;Саутгемптон;2;1;Вест Бромвич;8;;31;12;8;11;39;40;54;54;51;44;37;37;36;Саутгемптон;9;;29;10;7;12;36;37;54;51;44;37;0;36;36
2016-2017;32-й тур;Вест Хэм;Суонси;1;0;Матч завершен 8 апреля 2017;Неизвестно;2,21;3,50;3,67;2,06;1,99;0;0;0;0;0;0;0;0;0;0;0;0;Английская Премьер-лига 2016-2017;26.12.16;Суонси;Вест Хэм;1;4;Английская Премьер-лига 2015-2016;07.05.16;Вест Хэм;Суонси;1;4;Английская Премьер-лига 2015-2016;20.12.15;Суонси;Вест Хэм;0;0;Английская Премьер-лига 2014-2015;10.01.15;Суонси;Вест Хэм;1;1;Английская Премьер-лига 2014-2015;07.12.14;Вест Хэм;Суонси;3;1;05.04.17;Арсенал;Вест Хэм;3;0;01.04.17;ХаллСити;Вест Хэм;2;1;18.03.17;ВестХэм;Лестер;2;3;11.03.17;Борнмут;Вест Хэм;3;2;06.03.17;ВестХэм;Челси;1;2;25.02.17;Уотфорд;Вест Хэм;1;1;11.02.17;ВестХэм;Вест Бромвич;2;2;05.04.17;Суонси;Тоттенхэм;1;3;02.04.17;Суонси;Мидлсбро;0;0;18.03.17;Борнмут;Суонси;2;0;11.03.17;ХаллСити;Суонси;2;1;04.03.17;Суонси;Бернли;3;2;25.02.17;Челси;Суонси;3;1;12.02.17;Суонси;Лестер;2;0;Вест Хэм;15;;31;9;6;16;41;57;36;35;35;33;31;30;28;Суонси;18;;31;8;4;19;37;66;33;31;30;28;23;20;0
2016-2017;32-й тур;Манчестер Сити;Халл Сити;3;1;Матч завершен 8 апреля 2017;Неизвестно;1,20;8,40;18,32;3,32;1,39;0;0;0;0;0;0;0;0;0;0;0;0;Английская Премьер-лига 2016-2017;26.12.16;Халл Сити;Манчестер Сити;0;3;Английская Премьер-лига 2014-2015;07.02.15;Манчестер Сити;Халл Сити;1;1;Английская Премьер-лига 2014-2015;27.09.14;Халл Сити;Манчестер Сити;1;4;Английская Премьер-лига 2013-2014;15.03.14;Халл Сити;Манчестер Сити;0;2;Английская Премьер-лига 2013-2014;31.08.13;Манчестер Сити;Халл Сити;2;0;05.04.17;Челси;Манчестер Сити;2;1;02.04.17;Арсенал;Манчестер Сити;2;2;19.03.17;МанчестерСити;Ливерпуль;1;1;08.03.17;МанчестерСити;Сток Сити;0;0;05.03.17;Сандерленд;Манчестер Сити;0;2;13.02.17;Борнмут;Манчестер Сити;0;2;05.02.17;МанчестерСити;Суонси;2;1;05.04.17;ХаллСити;Мидлсбро;4;2;01.04.17;ХаллСити;Вест Хэм;2;1;18.03.17;Эвертон;Халл Сити;4;0;11.03.17;ХаллСити;Суонси;2;1;04.03.17;Лестер;Халл Сити;3;1;25.02.17;ХаллСити;Бернли;1;1;11.02.17;Арсенал;Халл Сити;2;0;Манчестер Сити;4;;30;17;7;6;57;34;72;68;60;58;54;54;51;Халл Сити;17;;31;8;6;17;32;61;35;33;31;30;28;23;20
2016-2017;32-й тур;Мидлсбро;Бернли;0;0;Матч завершен 8 апреля 2017;Неизвестно;2,61;3,20;3,17;1,62;2,56;0;0;0;0;0;0;0;0;0;0;0;0;Английская Премьер-лига 2016-2017;26.12.16;Бернли;Мидлсбро;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;05.04.17;ХаллСити;Мидлсбро;4;2;02.04.17;Суонси;Мидлсбро;0;0;19.03.17;Мидлсбро;Манчестер Юнайтед;1;3;04.03.17;СтокСити;Мидлсбро;2;0;25.02.17;КристалПэлас;Мидлсбро;1;0;11.02.17;Мидлсбро;Эвертон;0;0;04.02.17;Тоттенхэм;Мидлсбро;1;0;04.04.17;Бернли;Сток Сити;1;0;01.04.17;Бернли;Тоттенхэм;0;2;18.03.17;Сандерленд;Бернли;0;0;12.03.17;Ливерпуль;Бернли;2;1;04.03.17;Суонси;Бернли;3;2;25.02.17;ХаллСити;Бернли;1;1;12.02.17;Бернли;Челси;1;1;Мидлсбро;19;;30;4;11;15;22;37;31;30;28;23;20;0;0;Бернли;14;;31;10;5;16;32;44;36;36;0;35;33;31;30
2016-2017;32-й тур;Сток Сити;Ливерпуль;1;2;Матч завершен 8 апреля 2017;Неизвестно;3,57;3,70;2,28;1,81;2,18;0;0;0;0;0;0;0;0;0;0;0;0;Английская Премьер-лига 2016-2017;27.12.16;Ливерпуль;Сток Сити;4;1;Английская Премьер-лига 2015-2016;10.04.16;Ливерпуль;Сток Сити;4;1;Английская Премьер-лига 2015-2016;09.08.15;Сток Сити;Ливерпуль;0;1;Английская Премьер-лига 2014-2015;24.05.15;Сток Сити;Ливерпуль;6;1;Английская Премьер-лига 2014-2015;29.11.14;Ливерпуль;Сток Сити;1;0;04.04.17;Бернли;Сток Сити;1;0;01.04.17;Лестер;Сток Сити;2;0;18.03.17;СтокСити;Челси;1;2;08.03.17;МанчестерСити;Сток Сити;0;0;04.03.17;СтокСити;Мидлсбро;2;0;26.02.17;Тоттенхэм;Сток Сити;4;0;11.02.17;СтокСити;Кристал Пэлас;1;0;05.04.17;Ливерпуль;Борнмут;2;2;01.04.17;Ливерпуль;Эвертон;3;1;19.03.17;МанчестерСити;Ливерпуль;1;1;12.03.17;Ливерпуль;Бернли;2;1;04.03.17;Ливерпуль;Арсенал;3;1;27.02.17;Лестер;Ливерпуль;3;1;11.02.17;Ливерпуль;Тоттенхэм;2;0;Сток Сити;12;;31;9;9;13;33;45;37;37;36;36;35;35;33;Ливерпуль;3;;31;17;9;5;66;39;0;72;68;60;58;54;54
2016-2017;32-й тур;Тоттенхэм;Уотфорд;4;0;Матч завершен 8 апреля 2017;Неизвестно;1,24;7,30;14,50;2,58;1,60;0;0;0;0;0;0;0;0;0;0;0;0;Английская Премьер-лига 2016-2017;01.01.17;Уотфорд;Тоттенхэм;1;4;Английская Премьер-лига 2015-2016;06.02.16;Тоттенхэм;Уотфорд;1;0;Английская Премьер-лига 2015-2016;28.12.15;Уотфорд;Тоттенхэм;1;2;Английская Премьер-лига 2006-2007;17.03.07;Тоттенхэм;Уотфорд;3;1;Английская Премьер-лига 2006-2007;28.10.06;Уотфорд;Тоттенхэм;0;0;05.04.17;Суонси;Тоттенхэм;1;3;01.04.17;Бернли;Тоттенхэм;0;2;19.03.17;Тоттенхэм;Саутгемптон;2;1;05.03.17;Тоттенхэм;Эвертон;3;2;26.02.17;Тоттенхэм;Сток Сити;4;0;11.02.17;Ливерпуль;Тоттенхэм;2;0;04.02.17;Тоттенхэм;Мидлсбро;1;0;04.04.17;Уотфорд;Вест Бромвич;2;0;01.04.17;Уотфорд;Сандерленд;1;0;18.03.17;КристалПэлас;Уотфорд;1;0;04.03.17;Уотфорд;Саутгемптон;3;4;25.02.17;Уотфорд;Вест Хэм;1;1;11.02.17;МанчестерЮнайтед;Уотфорд;2;0;04.02.17;Уотфорд;Бернли;2;1;Тоттенхэм;2;;30;19;8;3;60;22;0;0;72;65;60;58;54;Уотфорд;10;;30;10;7;13;36;48;51;44;0;37;36;36;35
2016-2017;31-й тур;Ливерпуль;Борнмут;2;2;Матч завершен 5 апреля 2017;Неизвестно;1,46;4,90;8,72;2,52;1,63;0;0;0;0;0;0;0;0;0;0;0;0;Английская Премьер-лига 2016-2017;04.12.16;Борнмут;Ливерпуль;4;3;Английская Премьер-лига 2015-2016;17.04.16;Борнмут;Ливерпуль;1;2;Английская Премьер-лига 2015-2016;17.08.15;Ливерпуль;Борнмут;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01.04.17;Ливерпуль;Эвертон;3;1;19.03.17;МанчестерСити;Ливерпуль;1;1;12.03.17;Ливерпуль;Бернли;2;1;04.03.17;Ливерпуль;Арсенал;3;1;27.02.17;Лестер;Ливерпуль;3;1;11.02.17;Ливерпуль;Тоттенхэм;2;0;04.02.17;ХаллСити;Ливерпуль;2;0;01.04.17;Саутгемптон;Борнмут;0;0;18.03.17;Борнмут;Суонси;2;0;11.03.17;Борнмут;Вест Хэм;3;2;04.03.17;МанчестерЮнайтед;Борнмут;1;1;25.02.17;ВестБромвич;Борнмут;2;1;13.02.17;Борнмут;Манчестер Сити;0;2;04.02.17;Эвертон;Борнмут;6;3;Ливерпуль;3;;30;17;8;5;64;37;0;69;65;59;58;54;54;Борнмут;14;;30;9;7;14;42;54;36;36;35;34;33;31;30
2016-2017;31-й тур;Челси;Манчестер Сити;2;1; Матч завершен 5 апреля 2017;Неизвестно;2,23;3,44;3,62;2,10;1,88;0;0;0;0;0;0;0;0;0;0;0;0;Английская Премьер-лига 2016-2017;03.12.16;Манчестер Сити;Челси;1;3;Английская Премьер-лига 2015-2016;16.04.16;Челси;Манчестер Сити;0;3;Английская Премьер-лига 2015-2016;16.08.15;Манчестер Сити;Челси;3;0;Английская Премьер-лига 2014-2015;31.01.15;Челси;Манчестер Сити;1;1;Английская Премьер-лига 2014-2015;21.09.14;Манчестер Сити;Челси;1;1;01.04.17;Челси;Кристал Пэлас;1;2;18.03.17;СтокСити;Челси;1;2;06.03.17;ВестХэм;Челси;1;2;25.02.17;Челси;Суонси;3;1;12.02.17;Бернли;Челси;1;1;04.02.17;Челси;Арсенал;3;1;31.01.17;Ливерпуль;Челси;1;1;02.04.17;Арсенал;Манчестер Сити;2;2;19.03.17;МанчестерСити;Ливерпуль;1;1;08.03.17;МанчестерСити;Сток Сити;0;0;05.03.17;Сандерленд;Манчестер Сити;0;2;13.02.17;Борнмут;Манчестер Сити;0;2;05.02.17;МанчестерСити;Суонси;2;1;01.02.17;ВестХэм;Манчестер Сити;0;4;Челси;1;;29;22;3;4;60;23;0;0;0;69;65;59;58;Манчестер Сити;4;;29;17;7;5;56;32;69;65;59;58;54;54;51
2016-2017;31-й тур;Саутгемптон;Кристал Пэлас;3;1;Матч завершен 5 апреля 2017;Неизвестно;1,90;3,60;4,82;1,80;2,20;0;0;0;0;0;0;0;0;0;0;0;0;Английская Премьер-лига 2016-2017;03.12.16;Кристал Пэлас;Саутгемптон;3;0;Английская Премьер-лига 2015-2016;15.05.16;Саутгемптон;Кристал Пэлас;4;1;Английская Премьер-лига 2015-2016;12.12.15;Кристал Пэлас;Саутгемптон;1;0;Английская Премьер-лига 2014-2015;03.03.15;Саутгемптон;Кристал Пэлас;1;0;Английская Премьер-лига 2014-2015;26.12.14;Кристал Пэлас;Саутгемптон;1;3;01.04.17;Саутгемптон;Борнмут;0;0;19.03.17;Тоттенхэм;Саутгемптон;2;1;04.03.17;Уотфорд;Саутгемптон;3;4;11.02.17;Сандерленд;Саутгемптон;0;4;04.02.17;Саутгемптон;Вест Хэм;1;3;31.01.17;Суонси;Саутгемптон;2;1;22.01.17;Саутгемптон;Лестер;3;0;01.04.17;Челси;Кристал Пэлас;1;2;18.03.17;КристалПэлас;Уотфорд;1;0;04.03.17;ВестБромвич;Кристал Пэлас;0;2;25.02.17;КристалПэлас;Мидлсбро;1;0;11.02.17;СтокСити;Кристал Пэлас;1;0;04.02.17;КристалПэлас;Сандерленд;0;4;31.01.17;Борнмут;Кристал Пэлас;0;2;Саутгемптон;13;;28;9;7;12;33;36;36;36;35;34;34;33;31;Кристал Пэлас;16;;29;9;4;16;38;47;34;34;33;31;28;27;23
2016-2017;31-й тур;Халл Сити;Мидлсбро;4;2;Матч завершен 5 апреля 2017;Неизвестно;2,12;3,30;4,22;1,67;2,42;0;0;0;0;0;0;0;0;0;0;0;0;Английская Премьер-лига 2016-2017;05.12.16;Мидлсбро;Халл Сити;1;0;Чемпионшип 2015-2016;18.03.16;Мидлсбро;Халл Сити;1;0;Чемпионшип 2015-2016;07.11.15;Халл Сити;Мидлсбро;3;0;Кубок Англии 2013-2014;04.01.14;Мидлсбро;Халл Сити;0;2;Чемпионшип 2012-2013;06.04.13;Халл Сити;Мидлсбро;1;0;01.04.17;ХаллСити;Вест Хэм;2;1;18.03.17;Эвертон;Халл Сити;4;0;11.03.17;ХаллСити;Суонси;2;1;04.03.17;Лестер;Халл Сити;3;1;25.02.17;ХаллСити;Бернли;1;1;11.02.17;Арсенал;Халл Сити;2;0;04.02.17;ХаллСити;Ливерпуль;2;0;02.04.17;Суонси;Мидлсбро;0;0;19.03.17;Мидлсбро;Манчестер Юнайтед;1;3;04.03.17;СтокСити;Мидлсбро;2;0;25.02.17;КристалПэлас;Мидлсбро;1;0;11.02.17;Мидлсбро;Эвертон;0;0;04.02.17;Тоттенхэм;Мидлсбро;1;0;31.01.17;Мидлсбро;Вест Бромвич;1;1;Халл Сити;18;;30;7;6;17;28;59;33;31;28;27;23;20;0;Мидлсбро;19;;29;4;11;14;20;33;31;28;27;23;20;0;0
2016-2017;31-й тур;Суонси;Тоттенхэм;1;3;Матч завершен 5 апреля 2017;Неизвестно;5,71;4,00;1,74;2,00;2,02;0;0;0;0;0;0;0;0;0;0;0;0;Английская Премьер-лига 2016-2017;03.12.16;Тоттенхэм;Суонси;5;0;Английская Премьер-лига 2015-2016;28.02.16;Тоттенхэм;Суонси;2;1;Английская Премьер-лига 2015-2016;04.10.15;Суонси;Тоттенхэм;2;2;Английская Премьер-лига 2014-2015;04.03.15;Тоттенхэм;Суонси;3;2;Английская Премьер-лига 2014-2015;14.12.14;Суонси;Тоттенхэм;1;2;02.04.17;Суонси;Мидлсбро;0;0;18.03.17;Борнмут;Суонси;2;0;11.03.17;ХаллСити;Суонси;2;1;04.03.17;Суонси;Бернли;3;2;25.02.17;Челси;Суонси;3;1;12.02.17;Суонси;Лестер;2;0;05.02.17;МанчестерСити;Суонси;2;1;01.04.17;Бернли;Тоттенхэм;0;2;19.03.17;Тоттенхэм;Саутгемптон;2;1;05.03.17;Тоттенхэм;Эвертон;3;2;26.02.17;Тоттенхэм;Сток Сити;4;0;11.02.17;Ливерпуль;Тоттенхэм;2;0;04.02.17;Тоттенхэм;Мидлсбро;1;0;31.01.17;Сандерленд;Тоттенхэм;0;0;Суонси;17;;30;8;4;18;36;63;34;33;31;28;27;23;20;Тоттенхэм;2;;29;18;8;3;57;21;0;0;69;62;59;58;54
2016-2017;31-й тур;Арсенал;Вест Хэм;3;0;Матч завершен 5 апреля 2017;Неизвестно;1,43;5,60;7,90;3,27;1,38;0;0;0;0;0;0;0;0;0;0;0;0;Английская Премьер-лига 2016-2017;03.12.16;Вест Хэм;Арсенал;1;5;Английская Премьер-лига 2015-2016;09.04.16;Вест Хэм;Арсенал;3;3;Английская Премьер-лига 2015-2016;09.08.15;Арсенал;Вест Хэм;0;2;Английская Премьер-лига 2014-2015;14.03.15;Арсенал;Вест Хэм;3;0;Английская Премьер-лига 2014-2015;28.12.14;Вест Хэм;Арсенал;1;2;02.04.17;Арсенал;Манчестер Сити;2;2;18.03.17;ВестБромвич;Арсенал;3;1;04.03.17;Ливерпуль;Арсенал;3;1;11.02.17;Арсенал;Халл Сити;2;0;04.02.17;Челси;Арсенал;3;1;31.01.17;Арсенал;Уотфорд;1;2;22.01.17;Арсенал;Бернли;2;1;01.04.17;ХаллСити;Вест Хэм;2;1;18.03.17;ВестХэм;Лестер;2;3;11.03.17;Борнмут;Вест Хэм;3;2;06.03.17;ВестХэм;Челси;1;2;25.02.17;Уотфорд;Вест Хэм;1;1;11.02.17;ВестХэм;Вест Бромвич;2;2;04.02.17;Саутгемптон;Вест Хэм;1;3;Арсенал;6;;28;15;6;7;58;36;59;58;54;51;51;44;37;Вест Хэм;15;;30;9;6;15;41;54;35;34;34;33;31;28;27
2016-2017;31-й тур;Манчестер Юнайтед;Эвертон;1;1;Матч завершен 4 апреля 2017;Неизвестно;1,60;4,20;6,75;2,00;1,99;0;0;0;0;0;0;0;0;0;0;0;0;Английская Премьер-лига 2016-2017;04.12.16;Эвертон;Манчестер Юнайтед;1;1;Английская Премьер-лига 2015-2016;03.04.16;Манчестер Юнайтед;Эвертон;1;0;Английская Премьер-лига 2015-2016;17.10.15;Эвертон;Манчестер Юнайтед;0;3;Английская Премьер-лига 2014-2015;26.04.15;Эвертон;Манчестер Юнайтед;3;0;Английская Премьер-лига 2014-2015;05.10.14;Манчестер Юнайтед;Эвертон;2;1;01.04.17;МанчестерЮнайтед;Вест Бромвич;0;0;19.03.17;Мидлсбро;Манчестер Юнайтед;1;3;04.03.17;МанчестерЮнайтед;Борнмут;1;1;11.02.17;МанчестерЮнайтед;Уотфорд;2;0;05.02.17;Лестер;Манчестер Юнайтед;0;3;01.02.17;МанчестерЮнайтед;Халл Сити;0;0;21.01.17;СтокСити;Манчестер Юнайтед;1;1;01.04.17;Ливерпуль;Эвертон;3;1;18.03.17;Эвертон;Халл Сити;4;0;11.03.17;Эвертон;Вест Бромвич;3;0;05.03.17;Тоттенхэм;Эвертон;3;2;25.02.17;Эвертон;Сандерленд;2;0;11.02.17;Мидлсбро;Эвертон;0;0;04.02.17;Эвертон;Борнмут;6;3;Манчестер Юнайтед;5;;28;14;11;3;42;23;62;59;58;53;51;50;44;Эвертон;7;;30;14;8;8;52;33;58;53;51;50;44;37;36
